"spp","ncells","nrecords","maxent810m","maxent25km","maxent50km","clippedMaxent810m","clippedMaxent25km","clippedMaxent50km","convexHull","occurrenceBUffer"
"Agrostis elliottiana",28,51,72094,224,85,15661,45,20,24617833157.3067,12230848833.4529
"Agrostis exarata",1265,1994,214945,411,143,214743,406,140,333265772272.225,428158835450.365
"Agrostis hallii",205,296,66708,198,76,48768,110,42,74562425438.0674,67723741574.5342
"Agrostis hendersonii",20,33,82585,209,77,12520,34,14,38525677556.3385,12985712171.7694
"Agrostis hooveri",26,59,36294,215,85,3505,13,5,1542922461.58785,3082649990.46794
"Agrostis humilis",114,176,71457,223,75,48474,140,50,109268951284.298,71248481764.6931
"Agrostis idahoensis",432,636,71852,213,75,65558,169,60,175585327760.401,139083029687.538
"Agrostis microphylla",108,190,117146,280,99,59371,128,50,75489830234.436,60757623107.4951
"Agrostis oregonensis",47,82,136747,273,91,68783,148,50,155073417573.174,75469426536.7128
"Agrostis pallens",684,1057,208170,433,143,203842,423,139,308288836761.567,348387726751.221
"Agrostis scabra",494,702,144994,283,100,99922,204,71,222118418639.35,163181950432.273
"Agrostis variabilis",329,512,53514,186,68,50732,154,56,131897035435.752,107106996697.047
"Aliciella humillima",11,13,49218,157,54,4085,16,7,2289236327.38963,3681507643.49311
"Aliciella hutchinsifolia",31,46,181952,323,106,32771,77,27,37847956706.9134,26134208439.6817
"Aliciella latifolia",294,371,167172,262,83,129558,206,62,115288644720.595,123928458554.084
"Aliciella leptomeria",51,69,56583,176,62,21897,51,21,15521729225.7057,20028036601.6113
"Aliciella lottiae",32,35,112310,247,85,41454,116,44,76787394662.6227,44589414897.6659
"Aliciella micromeria",14,22,52372,163,62,9108,39,21,13179240384.0822,9635049102.09143
"Aliciella monoensis",20,23,130029,286,99,23984,67,28,46557160947.5265,21707123686.1184
"Aliciella ripleyi",24,29,102390,224,73,13981,42,14,17719580133.4852,13082133331.2814
"Aliciella triodon",11,21,26509,123,51,3706,19,10,16220625394.0105,6418539140.88768
"Alisma gramineum",11,17,36215,128,55,6350,22,10,6028746067.63593,5265239890.58789
"Alisma triviale",113,155,201432,467,155,143560,322,108,241420034836.281,197937738557.806
"Allenrolfea occidentalis",217,349,224798,387,133,168357,282,90,207538003884.448,159111373295.327
"Allionia incarnata",330,439,204740,306,98,99685,154,49,85136377486.664,89623228708.1777
"Allium abramsii",23,26,97314,307,112,6312,21,8,4151182425.09426,5978594020.09988
"Allium acuminatum",73,89,121695,332,113,46125,94,35,56538077723.9324,42267565510.2043
"Allium amplectens",334,424,172641,345,118,160453,297,97,221148579750.023,203322296405.14
"Allium anceps",12,13,55009,143,56,9831,36,15,13704771471.3258,9375318475.84089
"Allium atrorubens",69,87,47669,149,60,23377,65,29,34067567474.0593,29503981901.7367
"Allium bisceptrum",113,142,99146,196,72,63670,126,42,58936900048.4835,57876784870.1064
"Allium bolanderi",77,93,111380,259,89,55625,104,34,58074090302.3569,51221576735.9116
"Allium burlewii",110,168,55036,287,111,16800,67,31,91792576428.1007,51393346506.407
"Allium campanulatum",426,570,150192,278,95,144393,262,85,308853708677.183,269437301504.57
"Allium cratericola",57,75,147601,317,107,71237,150,52,130541509712.847,67602505349.2237
"Allium crispum",123,159,141245,351,111,42823,87,30,46577408697.0697,42447542756.1195
"Allium denticulatum",38,51,107703,250,83,15393,40,17,24765930785.1307,12436491876.4891
"Allium diabolense",41,56,175854,440,146,30285,102,39,121491836810.292,48267410857.8989
"Allium dichlamydeum",41,60,7233,60,29,2578,19,9,3670731111.00351,6424993863.80314
"Allium falcifolium",281,386,153300,322,106,86692,155,52,86024049965.812,82393548170.8455
"Allium fimbriatum",274,399,262501,504,156,132855,245,83,185110693150.427,129544734049.196
"Allium haematochiton",252,396,144612,364,128,41717,92,31,34382972096.3899,44208308006.2511
"Allium hickmanii",26,51,2924,36,17,712,9,6,1525143488.88959,2412319917.15359
"Allium hoffmanii",44,70,45149,138,53,4947,18,7,3501966962.71072,4203708755.14305
"Allium howellii",67,112,211752,436,137,24941,60,21,32543883950.7198,24425990382.43
"Allium hyalinum",101,130,109357,294,107,42643,98,37,81293864402.5042,55383298339.5045
"Allium jepsonii",27,41,73550,199,77,6012,22,12,6193631722.37936,5326718589.35931
"Allium lacunosum",151,236,248363,529,164,109761,204,65,126250826875.575,102749932925.429
"Allium lemmonii",53,68,60527,171,67,29592,66,23,28090684025.5739,26561409615.0847
"Allium marvinii",37,41,96335,226,82,8554,22,8,6917384316.81763,9700825252.85743
"Allium membranaceum",40,46,69233,178,69,16115,52,23,46860547609.9516,19732587149.6344
"Allium monticola",54,92,80059,332,132,4597,20,10,9656855896.3888,7931606590.81888
"Allium munzii",44,85,63189,239,86,3440,10,4,834936849.794918,2488958090.3724
"Allium nevadense",29,35,78957,221,80,12117,33,14,30737921615.123,12613802201.0356
"Allium obtusum",126,151,88081,215,82,52503,106,39,50497550651.1807,54751334246.6298
"Allium parishii",45,51,146873,325,105,9785,31,17,13805990769.2211,9379995797.27864
"Allium parryi",73,113,98589,291,109,7081,29,12,25983534801.8764,12106155720.4286
"Allium parvum",47,56,141093,270,93,66963,130,45,75321171995.1323,51449169935.8464
"Allium peninsulare",255,343,193216,403,133,122245,253,86,170906777078.674,154168296589.423
"Allium platycaule",90,114,71722,192,73,28483,56,19,25283332203.2552,24883346494.1127
"Allium praecox",187,299,52767,253,101,14586,48,25,22519996313.7731,27997840659.626
"Allium sanbornii",58,87,105591,227,83,22017,54,21,15358175012.8893,18429838608.7381
"Allium serra",127,163,108837,286,106,38748,73,25,31024294753.9973,31378251918.1107
"Allium sharsmithiae",15,27,251624,464,149,5443,20,12,16769974073.8137,4819029333.83518
"Allium shevockii",4,12,315911,515,165,722,4,2,5178860.99733867,518980973.549832
"Allium siskiyouense",68,92,104128,254,93,42113,77,26,35403527880.2957,34062171655.7419
"Allium tolmiei",18,20,66764,180,68,10897,25,9,6265061228.0318,7927747914.68994
"Allium tribracteatum",30,36,126691,251,86,23528,49,19,25335962235.8306,18655387357.8447
"Allium tuolumnense",5,6,146110,378,125,914,5,4,21411556.8087819,713311546.48485
"Allium unifolium",83,103,99697,279,101,44100,101,38,49402717426.6488,49215289903.2029
"Allium validum",233,309,81261,235,80,66864,167,57,152093586416.675,109792138123.192
"Allium yosemitense",9,18,189656,322,107,1971,7,3,319965765.707524,1421333515.39684
"Allophyllum divaricatum",258,330,158642,340,109,130150,276,90,203277196910.235,177240410376.343
"Allophyllum gilioides",449,572,240996,486,153,173510,369,124,249836715764.655,255709210409.61
"Allophyllum glutinosum",361,493,155940,304,103,53864,104,37,44486016322.9041,56401802318.3832
"Allophyllum integrifolium",174,247,111296,243,85,60846,136,48,90145573693.4477,73030367719.5629
"Allotropa virgata",105,124,146951,300,104,107072,208,74,151460298029.141,103596128586.428
"Almutaster pauciflorus",7,25,154021,305,98,1504,9,5,1831254600.48238,1468541459.28345
"Alnus incana",305,440,144530,269,95,96393,177,59,106994133011.033,99923914375.3501
"Alnus rhombifolia",845,1210,227830,389,122,223674,384,121,272865895891.591,330616536926.093
"Alnus rubra",205,323,35680,135,58,28411,74,32,35409064781.7084,42135195564.6459
"Alnus viridis",92,156,42528,155,57,19459,53,18,20612781707.6235,21382325579.8323
"Alopecurus aequalis",292,469,174683,319,110,161098,282,91,256757456198.624,214960148133.167
"Alopecurus carolinianus",51,81,123782,410,148,52348,137,52,133352966787.145,60062023537.6336
"Alopecurus geniculatus",102,154,78010,256,99,57625,164,67,173498360007.385,109088100400.524
"Alopecurus saccatus",293,499,117264,354,126,107019,242,85,255042093769.072,202996731895.357
"Aloysia wrightii",36,74,182571,325,107,9487,29,16,15679794000.9416,8360044737.29772
"Amaranthus blitoides",276,359,261892,468,142,218587,408,126,317894423744.006,319087692699.385
"Amaranthus californicus",164,211,216929,478,159,173623,381,125,279236211134.91,253615362983.182
"Amaranthus fimbriatus",245,333,255291,382,112,90530,154,50,76555518327.785,75580988368.2451
"Amaranthus palmeri",110,175,274833,445,130,165567,324,105,247775709140.51,177333118382.937
"Amaranthus powellii",99,141,203697,514,177,134093,309,104,262708088199.094,184166683860.427
"Amaranthus torreyi",54,76,52725,165,61,9129,32,14,14820381076.0396,10410646081.2111
"Amaranthus watsonii",9,11,37137,98,36,4757,20,9,8707344452.43389,5635200579.89248
"Amauriopsis dissecta",31,55,85719,233,88,1791,10,5,9655621703.95318,4232079678.99368
"Amblyopappus pusillus",148,286,11586,70,33,8404,47,23,12471645026.0918,22973968036.4398
"Ambrosia acanthicarpa",459,632,294775,530,164,245553,410,132,276422317353.434,290278054373.195
"Ambrosia ambrosioides",3,5,1239,25,17,462,5,2,32031728.3410145,730497717.617177
"Ambrosia chamissonis",345,648,23471,116,51,22972,112,51,132022745305.612,107177688681.746
"Ambrosia chenopodiifolia",23,60,3271,51,28,910,6,2,184117227.636691,1126157776.27624
"Ambrosia confertiflora",100,178,119143,356,113,40519,121,42,152523642366.807,68877079845.2973
"Ambrosia dumosa",873,1259,184218,270,83,146724,209,64,117913765808.367,148500575579.47
"Ambrosia eriocentra",142,212,127016,255,84,17374,36,14,13664900499.9257,13696451729.1142
"Ambrosia ilicifolia",49,99,36855,89,36,6984,20,11,9380825022.56619,5844323419.60103
"Ambrosia monogyra",24,54,32857,239,98,1733,8,4,748090207.903875,2337981445.41823
"Ambrosia psilostachya",537,716,174031,430,147,139341,271,92,204329816223.176,193848725613.25
"Ambrosia pumila",40,75,78164,302,108,6149,19,7,3804750656.42163,5729959640.53406
"Ambrosia salsola",940,1411,219400,332,103,176677,259,80,161292409699.392,186887627273.577
"Amelanchier alnifolia",287,378,121302,267,88,96359,179,61,120542432292.72,109032226524.852
"Amelanchier utahensis",777,1133,272245,490,164,250668,461,155,342455421599.082,370763862706.991
"Ammannia coccinea",133,208,259809,466,144,157987,282,96,219740593367.534,158470806893.449
"Ammannia robusta",62,77,205734,459,151,91930,206,80,273413253755.756,117283479813.003
"Amorpha californica",417,672,103453,336,117,56596,169,62,205878015067.521,121461878122.856
"Amorpha fruticosa",180,291,173607,390,126,25264,49,18,16601226418.1416,23915810350.4903
"Amphipappus fremontii",181,307,146284,263,85,59855,103,32,39090109583.0101,49372241151.3438
"Amphiscirpus nevadensis",62,90,62300,167,67,28785,79,35,62452222098.168,34070991569.1455
"Amsinckia douglasiana",114,193,126280,317,111,30330,67,25,32711855375.3824,34327004039.1843
"Amsinckia eastwoodiae",131,186,226088,437,132,102264,205,71,116994254196.592,96459453303.2155
"Amsinckia furcata",56,133,154831,372,115,10120,27,9,5754174895.56821,7651079168.29201
"Amsinckia grandiflora",15,53,15061,134,63,1516,9,5,485496906.990494,1416253262.29794
"Amsinckia intermedia",703,886,248776,475,147,241405,439,136,365505719272.007,424912626982.255
"Amsinckia lunaris",66,106,102020,281,105,27454,53,21,28964314898.4314,24430391708.7028
"Amsinckia lycopsoides",165,203,152048,411,135,120297,234,77,171182083627.867,149053969319.264
"Amsinckia menziesii",1154,1574,218917,483,158,205900,406,131,377647892553.008,411047098966.499
"Amsinckia retrorsa",95,114,176634,384,122,126222,238,82,283247833102.395,168227890298.82
"Amsinckia spectabilis",184,308,19971,114,52,16329,88,41,61000514950.0808,60923169243.4629
"Amsinckia tessellata",913,1179,265583,400,125,257408,391,122,317730567474.758,331852230122.289
"Amsinckia vernicosa",99,150,188816,365,110,76616,161,53,96200765068.567,72975024604.3376
"Amsonia tomentosa",159,290,117462,215,70,46167,104,37,68436677288.7225,51674903387.9376
"Anagallis minima",115,146,126256,364,127,89160,226,79,184398083378.664,136185780787.098
"Anaphalis margaritacea",403,596,123118,306,108,115397,260,94,253282902788.63,218688233531.017
"Ancistrocarphus filagineus",321,416,266353,542,170,204189,398,126,271079741702.93,251122424526.318
"Ancistrocarphus keilii",3,6,16951,122,58,678,6,2,2134196.71534789,625803270.640449
"Andropogon glomeratus",70,150,81941,332,117,13429,64,30,89900970504.2204,41315764101.0434
"Androsace elongata",128,174,170846,431,138,82965,195,69,180190419050.083,105632037147.304
"Androsace filiformis",1,1,623355,744,213,472,2,1,0,309016994.374929
"Androsace occidentalis",1,9,623355,744,213,484,3,3,0,317226666.50994
"Androsace septentrionalis",82,130,15448,58,26,11935,40,18,31041699852.2568,19954087718.6343
"Androstephium breviflorum",24,31,89309,179,58,10615,36,15,23502466124.8525,10891037625.0469
"Anelsonia eurycarpa",47,81,14353,59,27,10025,38,16,14463767910.0458,13182329857.8356
"Anemone deltoidea",117,151,49906,168,60,23528,44,15,15600158369.7744,21552699918.6434
"Anemone drummondii",93,140,71465,232,80,38051,95,36,41700008910.499,40309822352.3821
"Anemone grayi",22,35,63228,201,75,13269,43,19,27348458507.3113,14049039775.9416
"Anemone lyallii",16,19,24904,135,48,7342,29,11,15984276022.9547,9979090602.66334
"Anemone multifida",10,15,20238,125,48,1153,7,3,739858778.106164,1790885569.82288
"Anemone occidentalis",77,116,50276,189,68,27353,89,36,51680104389.1507,36657696026.7993
"Anemone oregana",44,52,109894,252,85,35449,75,27,34394189902.5103,26692816740.6659
"Anemone tuberosa",57,75,137369,301,100,17139,46,19,22378931614.2652,16415489145.5283
"Anemopsis californica",401,607,288264,452,137,223404,381,119,286996237222.69,255871993422.208
"Angelica arguta",48,65,53149,152,55,20354,56,19,25652579799.0726,21341467314.3472
"Angelica breweri",88,125,75184,190,69,30883,59,19,19126519488.9115,25188277732.4709
"Angelica californica",44,69,164845,360,118,28943,63,23,28267781137.0568,22772315608.3104
"Angelica callii",15,36,29502,162,71,2888,10,5,1934277686.45837,3602158360.06676
"Angelica genuflexa",9,32,21947,145,59,3812,20,11,7642831029.91623,4671879499.03053
"Angelica hendersonii",54,97,10254,60,28,8165,37,18,19318553465.1573,19867830036.8447
"Angelica kingii",10,16,16676,64,27,2753,10,4,603731731.429269,2049626322.35027
"Angelica lineariloba",92,140,56650,164,62,25111,56,19,21121060182.2059,25610845958.683
"Angelica lucida",23,43,1940,25,15,1432,13,8,2324961426.12512,3524364602.71245
"Angelica tomentosa",135,197,188425,381,132,101269,176,59,206596671297.876,114176423565.159
"Anisocarpus madioides",244,328,74665,208,80,56175,127,47,158969711510.328,102309917785.612
"Anisocarpus scabridus",35,68,15780,108,43,2454,15,8,7900863800.93963,6069659433.83689
"Anisocoma acaulis",502,657,198970,383,120,135429,258,88,195461966912.556,159251375002.083
"Antennaria argentea",193,270,134946,276,97,113001,198,65,120591451960.511,112135419624.432
"Antennaria corymbosa",74,97,58153,174,62,23363,53,20,16528664479.2807,19540852253.9655
"Antennaria dimorpha",164,234,99530,234,82,84074,193,71,197415163888.401,132736761823.468
"Antennaria flagellaris",6,6,75331,149,57,2384,11,4,2759409529.25564,2089811241.49397
"Antennaria geyeri",92,143,85380,219,81,50372,85,30,59840828403.3356,44148753675.8136
"Antennaria howellii",12,17,34441,140,52,4122,17,8,4411260609.66508,4645519281.52876
"Antennaria luzuloides",75,109,61647,168,67,32393,55,19,25346734262.1836,28450118027.8893
"Antennaria marginata",6,11,89238,183,66,468,3,2,5673315.43686649,475012055.243324
"Antennaria media",224,344,29349,143,60,27279,109,43,92771203882.9138,71078198332.7631
"Antennaria microphylla",202,257,124613,264,92,89624,194,65,132782949688,110455114815.74
"Antennaria pulchella",91,109,15911,79,35,11573,39,18,15939055287.2875,18961148600.211
"Antennaria racemosa",24,26,18344,115,44,4132,19,6,4817090062.12951,5768421698.24352
"Antennaria rosea",463,658,128191,265,92,117287,224,75,153619395113.956,144748575646.814
"Antennaria suffrutescens",35,64,8334,44,20,3589,10,4,2118766669.06745,3399576975.92503
"Antennaria umbrinella",63,77,49328,167,63,23053,65,25,27521746515.8414,24245399873.4335
"Anthoxanthum nitens",5,5,60130,279,94,3761,25,13,50134248094.2571,8961487840.70212
"Anthoxanthum occidentale",188,266,50929,170,68,35376,93,38,38315953142.733,45205709981.4209
"Antirrhinum cornutum",68,82,111408,279,99,35247,71,24,38005124263.5099,31918426220.7009
"Antirrhinum coulterianum",518,645,149257,294,97,37768,71,25,34142692357.7004,45534485224.8072
"Antirrhinum filipes",192,230,194163,296,94,105306,173,55,83986143416.7829,90299483873.3305
"Antirrhinum kelloggii",262,336,118465,304,108,70628,153,56,92529034217.0575,91979757748.265
"Antirrhinum kingii",26,40,72963,201,71,15153,39,17,21012057578.7996,13483402310.6714
"Antirrhinum leptaleum",36,45,108146,267,95,17008,43,21,21430537170.4644,16288446307.3981
"Antirrhinum multiflorum",255,333,66218,262,96,40890,139,51,113462368783.165,89828121155.3529
"Antirrhinum nuttallianum",639,938,149316,381,131,32128,86,32,39689078369.4138,49770705791.6574
"Antirrhinum ovatum",25,60,194803,387,122,10318,28,12,5473280871.97347,7115410158.94436
"Antirrhinum subcordatum",43,67,56094,179,68,5466,17,8,2339478682.20186,4816614907.48782
"Antirrhinum vexillocalyculatum",279,342,149156,299,100,122637,217,67,117032311316.155,129499838102.204
"Antirrhinum virga",74,128,83734,239,90,11937,23,9,5337805503.75055,8822171468.43737
"Anulocaulis annulatus",35,50,149866,261,82,14674,36,13,8834737658.30733,10975809309.1492
"Aphanes occidentalis",214,269,185563,381,137,149459,310,109,183643572913.527,199928937518.385
"Aphanisma blitoides",45,73,11166,86,42,4712,36,22,3904458148.34143,9967147838.47137
"Apiastrum angustifolium",616,805,182259,397,133,126638,260,89,150587149506.885,172964021186.793
"Apocynum androsaemifolium",522,704,190351,325,112,184835,293,95,276554210514.882,259447095623.672
"Apocynum cannabinum",281,395,301399,555,171,266212,531,167,362189106308.003,378366337461.912
"Aquilegia eximia",54,74,148377,335,114,43834,105,41,58761727488.8668,42106077048.5618
"Aquilegia formosa",922,1223,247189,427,147,245764,410,136,314361912629.189,356476603794.788
"Aquilegia pubescens",152,237,23785,92,39,14902,36,15,10158782434.1704,16019747407.9837
"Aquilegia shockleyi",11,18,32987,147,60,1460,13,9,6880972889.78631,2990837641.83206
"Arabis blepharophylla",76,184,18286,91,42,6465,22,9,5627840576.17803,8374257882.6298
"Arabis eschscholtziana",55,72,214459,415,144,83083,177,70,238587179918.966,91325687815.4121
"Arabis mcdonaldiana",34,61,10542,52,22,2552,9,4,5612491123.2459,3585788114.74716
"Arabis modesta",14,29,106193,390,135,3809,18,9,8071555755.02028,4071752740.64409
"Arabis oregana",19,31,91829,254,93,5486,17,6,3726494990.21534,3949962102.98877
"Arabis pycnocarpa",23,26,134762,306,111,44922,117,48,188746111373.397,57674392713.3806
"Aralia californica",256,375,155904,325,109,132111,255,86,236437536649.244,189145036923.76
"Arbutus menziesii",434,602,144883,330,110,124883,279,93,209601001140.156,185149011926.503
"Arceuthobium americanum",46,60,57782,189,67,31078,85,32,29068525712.9986,33124455214.0781
"Arceuthobium campylopodum",686,1078,219446,457,156,212493,446,149,356181502458.119,385608551635.474
"Arceuthobium douglasii",5,7,119944,296,100,3404,16,8,4604752816.65675,2864597815.76356
"Arctomecon merriamii",23,33,114575,255,88,7753,27,12,10586468981.4889,6773228626.62608
"Arctostaphylos andersonii",131,237,23091,105,46,6425,21,10,4934328698.17706,8286809435.97564
"Arctostaphylos auriculata",28,109,16577,94,39,1892,9,4,325804970.623077,1429968887.35438
"Arctostaphylos bakeri",36,113,19331,83,40,4426,18,9,5981749282.97374,4349637345.09655
